OYO 3426 Hotel White Inn Agra,"Taj Nagri -1, Agra",999,New
OYO 11652 Hotel Crystal Inn,"Fatehbad Road, Behind TDI Mall, Taj Nagari Phase - 1, Telipara, Taj Nagari Phase 1, Telipara, Agra",1201,New
OYO 11540 Hotel Royal INN,"Taj Nagri Phase-1, Behind TDI Mall, Agra",1201,4.3
OYO 11526 Hotel Apollo,"Fatehabad Rd, Tourist Complex Area, Impeypura, Tajganj, Agra",1201,4.3
OYO 11041 Hotel Taj Ansh,"Dhandupura Road, Opp. Shilpgram Road, Dhandupura, Agra",1201,4.3
OYO 10500 Royal Awadh,"Taj East gate Road, Agra",1201,4.3
OYO 9974 Hotel Taj Prince,"Near Basai Police Chowki, Fatehabad Road, Agra",1201,4.0
OYO 9590 P S Villa,"Taj Nagari Phase-2, Agra",1201,4.0
OYO 9369 Raj Paradise,"Taj Nagri Phase-1, Behind TDI Mall, Agra",1201,3.9
OYO 8743 Hotel Ravi Palace,"Opposite Sheraton 4 Points, Shilpgram Road, Agra.",1201,3.9
OYO 6388 Hotel NR Inn,"Behind TDI Mall, Agra",999,4.2
OYO 11608 Riddhee Siddhee,"Taj Nagri Phase1 , Near Shilpgram, Tajganj, Agra",1201,4.2
OYO 11539 Hotel Priya,"Opposite Priya Restaurant, Fatehabad Road, Basai Khurd, Agra",1201,New
OYO 11043 Hotel Rudra Vilas,"Purani Mandi, Taj Ganj, Agra",1201,3.9
OYO 10876 Hotel Taj signature,"Taj Ganj Basai, Agra",1201,3.9
OYO 10454 Hotel Riviera,"Taj Nagari Phase 1, Behind Pacific Mall, Agra",1201,4.2
OYO 10961 near Railway Station,"Arjun Nagar Tiraha, Agra",1201,4.2
OYO 11646 Hotel Prema Palace Agra,"Fatehabad Road, Agra",1201,4.3
OYO 9368 Hotel Pratap,"Fatehabad Road, Purani Mandi, Agra",1201,4.3
OYO 4291 Hotel The KS Royal,"NH-2, Sikandra, Opposite Akbar Tomb, Agra",1201,4.2
OYO 6072 Aaradhya residency,"Plot no. 94 behind Taj Ganj CNG  Pump, Agra",1201,New
OYO 4096 Queen Palace Agra,"Behind CNG Petrol Station, Fatehabad Road, Agra",1201,New
OYO 3773 Hotel City Square and Suites Agra,"Opp. Saga Emporium, Fatehabad Road, Agra",1201,4.3
OYO 2862 Hotel Kanha Continental,"Opp. CCD, Fatehabad Road, Agra",1201,4.3
OYO 9367 Hotel Taj Galaxy,"Taj VIP Gate, Eastern Gate, Fatehabad Road, Agra",1201,4.3
OYO 10133 Rama Homestay,"Behind CNG Pump, 100ft Road, Agra",1201,4.3
OYO 12221 Hotel M house,"plot no 18/159 near puarni chowk, fatehabad road agra, Agra",1201,4.4
OYO 11005 Hotel Shanti Palace,"SEC-13, PT DEEN DAYAL UPADHYAY PURAM, Karkunj Road, Bodla Near Kargil Petrol Pump, , Sikandra-Bodla Rd, Nidhi Kunj Colony, Kar Kunj Chauraha, Avas Vikas Colony, Sikandra, Agra",1201,4.4
OYO 9236 9 Star Hotel,"Fatehabad Road, Tajganj, Agra",1201,4.4
OYO 6253 Hotel Garden View Resort,"Opp. CNG Petrol Station, 100 Feet Road, Agra",1201,4.4
OYO 5539 Merit Hotel,"Opp. TDI Mall, Fatehabad Road, Agra",1201,New
OYO 4012 Hotel Avalon Taj Agra,"Near Idgah Bus Stand, Idgah Colony, Agra",1201,3.7
OYO 3209 Hotel Anand Villa,"Behind TDI Mall, Fatehabad Rd, Agra",1201,3.7
OYO 1493 Hotel Madhushrie,"Taj Expressway Link Road, Nunahi, Agra",1201,4.1
OYO 9966 Hotel Samovar,"Fatehbad Road, Agra",1201,4.1
OYO 1835 Sun Hotel Agra,"Near Police Chowki, Baluganj, Agra",1201,4.6
OYO 11648 CP Residency,"Kalal Kheria, Fatehabad Road, Agra",1201,4.6
OYO 3202 Hotel Gayatri Residency,"Taj Nagari phase 2, Agra",1201,4.1
OYO 8888 Riga Home Stay Agra,"Taj Nagri Phase 1, Agra",1201,4.1
OYO 10953 Dayal Lodge A Boutique Hotel,"New Agra, Dayalbagh Road , Agra",1236,4.1
